link,name,portions,bookmarks,likes,comments,ingredient,measure,amount
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,картофель,штук,0.7
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,морковь,штук,0.5
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,маринованные огурцы,штук,0.6
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,зеленый горошек,банка,0.1
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,яйцо куриное,штук,0.6
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,докторская колбаса,г,30
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,сметана,г,10
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,майонез,г,20
https://eda.ru/recepty/salaty/olive-po-sovetski-20471,Оливье по-советски,10,5905,445,50,соль,по вкусу,0.005
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,очищенные вареные креветки,г,50
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,авокадо,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,морковь,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,огурцы,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,зеленый горошек,банка,0.25
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,яйцо куриное,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,репчатый лук,головка,0.25
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,кешью,стакан,0.25
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,сухая горчица,столовая ложка,0.25
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,белый винный уксус,чайная ложка,0.25
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,чеснок,по вкусу,0.0125
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,лимонный сок,столовая ложка,0.25
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,морская соль,по вкусу,0.0125
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,черный перец,по вкусу,0.0125
https://eda.ru/recepty/salaty/olive-s-krevetkami-avokado-domashnim-majonezom-20056,"Оливье с креветками, авакадо и домашним майонезом",4,1488,59,13,оливковое масло,столовые ложки,0.75
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,картофель,г,40
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,зеленый горошек,г,18
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,красный репчатый лук,г,6
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,огурцы,г,18
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,соленые огурцы,г,18
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,морковь,г,12
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,слабосоленая семга,г,50
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,соль,по вкусу,0.01
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,черный перец,по вкусу,0.01
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,укроп,г,3
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,зеленый репчатый лук,г,3
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,майонез,г,16
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,лимонный сок,мл,1
https://eda.ru/recepty/salaty/olive-s-lososem-55915,Оливье с лососем,5,1146,38,3,маринованный имбирь,г,2
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,говядина,г,37.5
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,картофель,штук,1.25
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,морковь,штуки,0.375
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,репчатый лук,головка,0.125
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,соленые огурцы,штуки,0.375
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,огурцы,штуки,0.25
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,зеленый горошек,банка,0.125
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,зеленый репчатый лук,по вкусу,0.00625
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,майонез,по вкусу,0.00625
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,соль,по вкусу,0.00625
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,черный перец,по вкусу,0.00625
https://eda.ru/recepty/salaty/olive-54990,Оливье,8,1141,42,3,яйцо куриное,штуки,0.375
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,вареная колбаса,г,62.5
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,картофель,штуки,0.75
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,морковь,штука,0.25
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,соленые огурцы,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,яйцо куриное,штуки,0.75
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,зеленый горошек,г,11.25
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,соль,по вкусу,0.0125
https://eda.ru/recepty/salaty/olive-s-varenoj-kolbasoj-26436,Оливье с вареной колбасой,4,1031,93,11,майонез,по вкусу,0.0125
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,зеленый горошек,г,100
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,мясо,г,75
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,яйцо куриное,штуки,1
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,картофель,г,87.5
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,огурцы,г,37.5
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,морковь,г,37.5
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,зеленый репчатый лук,г,25
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,майонез,по вкусу,0.0125
https://eda.ru/recepty/salaty/salat-olive-s-mjasom-i-svezhimi-ogurcami-20594,Салат оливье с мясом и свежими огурцами,4,844,43,2,соль,по вкусу,0.0125
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,черный перец,по вкусу,0.025
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,белокочанная капуста,г,150
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,яблочный уксус,г,2.5
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,зеленый репчатый лук,г,10
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,соевый соус,мл,5
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,маринованные огурцы,г,50
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,зеленый горошек,г,50
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,сметана 20%-ная,г,25
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,огурцы,г,25
https://eda.ru/recepty/salaty/nizkokalorijnij-olive-32007,Низкокалорийный оливье,2,717,24,4,горчица,чайная ложка,0.5
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,картофель,штуки,1
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,яйцо куриное,штуки,1
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,соленые огурцы,штуки,1
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,морковь,штука,0.25
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,зеленый горошек,банка,0.25
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,репчатый лук,головка,0.25
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,майонез,г,37.5
https://eda.ru/recepty/salaty/olive-s-shampinonami-26142,Оливье с шампиньонами,4,663,36,10,свежие шампиньоны,г,50
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,картофель,штуки,1
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,яблоко,штука,0.25
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,яйцо куриное,штук,1.25
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,говядина,г,75
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,соленые огурцы,штуки,0.75
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,зеленый горошек,г,25
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,морковь,штуки,0.75
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,репчатый лук,головка,0.25
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,соль,по вкусу,0.0125
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,майонез,г,32.5
https://eda.ru/recepty/salaty/olive-s-jablokami-26135,Оливье с яблоками,4,657,43,2,черный перец,по вкусу,0.0125
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,картофель,г,90
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,морковь,г,55
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,зеленый горошек,г,50
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,огурцы,г,80
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,"""кукурузный"" цыпленок",г,130
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,яйцо куриное,штуки,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,соль,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,молотый сушеный чеснок,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,майонез,г,70
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,морская соль,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,черный перец,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,салат мини романо,г,20
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,кинза,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,укроп,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,петрушка,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,сельдерей,г,2
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,свежий тимьян,по вкусу,0.025
https://eda.ru/recepty/salaty/salat-olive-ot-shef-povara-restorana-bolshoj-s-file-ciplenka-na-grile-23939,Салат оливье от шеф-повара ресторана “Большой” с филе ципленка на гриле,2,432,10,2,оливковое масло,по вкусу,0.025
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,соленые огурцы,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,зеленый горошек,г,25
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,говядина,г,75
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,картофель,штуки,0.75
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,репчатый лук,головка,0.25
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,майонез,г,37.5
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,яйцо куриное,штуки,0.5
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,петрушка,пучок,0.25
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,соль,по вкусу,0.0125
https://eda.ru/recepty/salaty/olive-s-solenimi-ogurcami-26134,Оливье с солеными огурцами,4,376,34,3,черный перец,по вкусу,0.0125
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,раковые шейки,г,42.5
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,куриная грудка,г,45
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,перепелиное яйцо,штуки,1
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,салат романо,головки,1
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,картофель,г,75
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,морковь,г,17.5
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,огурцы,г,50
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,зеленый горошек,г,15
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,зеленые яблоки,г,20
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,лимон,штуки,0.25
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,зеленый репчатый лук,г,2
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,маринованные огурцы,г,20
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,каперсы,г,5
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,зернистая горчица,г,7.5
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,майонез,г,25
https://eda.ru/recepty/salaty/carskij-olive-35270,Царский оливье,2,375,11,4,вустерширский соус,мл,5
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,салат романо,г,30
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,картофель,г,60
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,морковь,г,25
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,зеленый горошек,г,40
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,огурцы,г,40
https://eda.ru/recepty/salaty/novogodnij-sovetskij-olive-s-govjadinoj-41519,Новогодний советский «Оливье» с говядиной,2,266,14,1,соленые огурцы,г,30
