ingredient,n,category
яйцо куриное,56,яйцо
перепелиное яйцо,13,яйцо
яблоко,6,фрукты
авокадо,4,фрукты
лимон,4,фрукты
антоновские яблоки,2,фрукты
кислые яблоки,2,фрукты
моченые яблоки,2,фрукты
ананас,1,фрукты
зеленые яблоки,1,фрукты
финики,1,фрукты
хурма,1,фрукты
черная смородина,1,фрукты
адыгейский сыр,2,еще
греческий йогурт,1,заправка
морковный сок,1,сок
свекольный сок,1,сок
кресс-салат,3,салат
латук,2,салат
салат романо,2,салат
салат фризе,2,салат
белокочанная капуста,1,салат
салат мини романо,1,салат
соль,49,приправы
черный перец,34,приправы
горчица,9,приправы
лимонный сок,8,приправы
сахар,8,приправы
дижонская горчица,7,приправы
яичный желток,4,приправы
белый винный уксус,3,заправка
морская соль,3,приправы
черный перец горошком,3,приправы
измельченный укроп,2,приправы
лавровый лист,2,приправы
хрен,2,приправы
асафетида,1,приправы
базилик,1,приправы
кайенский перец,1,приправы
кетчуп,1,приправы
кислота лимонная,1,приправы
кокосовое масло,1,приправы
куркума,1,приправы
молотая паприка,1,приправы
молотый белый перец,1,приправы
молотый кориандр,1,приправы
молотый сушеный чеснок,1,приправы
паприка,1,приправы
свежий тимьян,1,приправы
сок лайма,1,приправы
смесь молотых перцев,1,приправа
тимьян,1,приправа
черная соль,1,приправа
сырой кешью,1,орехи
зеленый горошек,71,овощи
картофель,67,овощи
морковь,62,овощи
огурцы,39,овощи
соленые огурцы,36,овощи
репчатый лук,27,овощи
маринованные огурцы,17,овощи
зеленый репчатый лук,15,овощи
каперсы,8,овощи
корень сельдерея,3,овощи
красный репчатый лук,3,овощи
маслины,3,овощи
сладкий перец,3,овощи
стебель сельдерея,3,овощи
корнишоны,2,овощи
оливки,2,овощи
"оливки, фаршированные лимоном",2,овощи
помидоры черри,2,овощи
редис,2,овощи
батат,1,овощи
белый репчатый лук,1,овощи
имбирь,1,овощи
кабачки,1,овощи
каперсы с черенком,1,овощи
квашеная капуста,1,овощи
кенийская фасоль,1,овощи
кольраби,1,овощи
консервированная кукуруза,1,овощи
маринованный жемчужный репчатый лук,1,овощи
маринованный имбирь,1,овощи
пикули,1,овощи
помидоры,1,овощи
репчатый лук-порей,1,овощи
репчатый лук-резанец,1,овощи
репчатый лук-шалот,1,овощи
сельдерей,1,овощи
сушеный зеленый репчатый лук,1,овощи
цветная капуста,1,овощи
эндивий,1,овощи
говядина,6,мясо
говяжий язык,5,мясо
докторская колбаса,5,мясо
куриная грудка,5,мясо
куриное филе,4,мясо
раковые шейки,4,мясо
вареная колбаса,3,мясо
креветки,3,мясо
курица,3,мясо
рябчик,3,мясо
вареный говяжий язык,2,мясо
ветчина,2,мясо
копченая курица,2,мясо
мясо,2,мясо
мясо краба,2,мясо
очищенные вареные креветки,2,мясо
раки,2,мясо
"""кукурузный"" цыпленок",1,мясо
анчоусы,1,мясо
говяжья вырезка,1,мясо
грудка цесарки,1,мясо
коктейль из морепродуктов,1,мясо
колбаса вегетарианская,1,мясо
консервированные крабы,1,мясо
копченая индейка,1,мясо
копченая куриная грудка,1,мясо
копченая оленина,1,мясо
копченая скумбрия,1,мясо
копченая утиная грудка,1,мясо
копченый бекон,1,мясо
копченый лосось,1,мясо
крабы,1,мясо
куриная грудка с кожей,1,мясо
куриные бедра,1,мясо
куриные копченые окорочка,1,мясо
оленина,1,мясо
очищенные креветки,1,мясо
печень,1,мясо
ростбиф,1,мясо
свиной копченый окорок,1,мясо
свиной окорок,1,мясо
свиной язык,1,мясо
сервелат,1,мясо
слабосоленая семга,1,мясо
слабосоленый лосось,1,мясо
сосиски,1,мясо
телятина,1,мясо
телячий язык,1,мясо
утиная грудка,1,мясо
утиное филе,1,мясо
фаланги краба,1,мясо
фарш,1,мясо
филе куриной грудки,1,мясо
филе лосося,1,мясо
филе перепела,1,мясо
пшеничная мука,1,мука
сыр,2,молочное
тофу,2,молочное
молоко,1,молочное
соевое молоко,1,молочное
твердый тофу,1,молочное
макароны,1,макароны
рис,1,крупа
коренья,1,коренья
укроп,13,зелень
петрушка,11,зелень
чеснок,6,зелень
зелень,5,зелень
кинза,3,зелень
листья сельдерея,1,зелень
майонез,49,заправка
оливковое масло,14,заправка
растительное масло,10,заправка
домашний майонез,5,заправка
майонез «провансаль»,3,заправка
сметана,3,заправка
сметана 20%-ная,3,заправка
соевый соус,3,заправка
винный уксус,2,заправка
вода,2,заправка
вустерширский соус,2,заправка
подсолнечное масло,2,заправка
постный майонез,2,заправка
яблочный уксус,2,заправка
бальзамический крем,1,заправка
васаби,1,заправка
зернистая горчица,1,заправка
кунжутное масло,1,заправка
натуральный йогурт,1,заправка
оливковый майонез,1,заправка
сметана 10%-ная,1,заправка
сметана 15%-ная,1,заправка
соус айоли,1,заправка
соус кабуль,1,заправка
соус табаско,1,заправка
сухая горчица,1,заправка
трюфельное масло,1,заправка
уксус,1,заправка
чесночное масло,1,заправка
желатин,2,желе
агар-агар,1,желе
ланспик,1,желе
красная икра,4,еще
черная икра,3,еще
кешью,2,еще
мед,2,еще
икра,1,еще
икра тобико,1,еще
панировочные сухари,1,еще
маринованные грибы,1,грибы
свежие шампиньоны,1,грибы
гренки из бородинского хлеба,1,гренки
бульон из креветок,1,бульон
говяжий бульон,1,бульон
куриный бульон,1,бульон
безе,1,безе
