Timestamp,Ваше имя,Готовить оливье нужно именно так:,Бонус-трек: окрошка
7/9/2019 17:09:34,Екатерина,"вареные картошка и яйца, соленые огурцы, вареное мясо, консервированный горошек, майонез",на квасе
7/9/2019 17:10:40,Тимофей,"Отварная говядина, варёные яйца, варёная морковь, варёная картошка, солёные огурцы, яблоки, зелёный горошек, соль, перец, майонез","делаю вид, что этого блюда не существует"
7/9/2019 17:10:57,Сережа,"Колбасу докторскую, отварные картофель и морковь порезать кубиками, покрошить туда укроп, доабвить зеленый горошек и залить все смачно майонезом ",на квасе
7/9/2019 17:11:03,Шоша,"Картошка, морковь, солные огурцы, горошек, вареное яйцо, вареная колбаса, мазик",на квасе
7/9/2019 17:11:23,Лиза,"Сварить овощи и яйца, нарезать овощи и яйца, нарезать огурчиков, кинуть в тазик, залить все мазиком, съесть ","делаю вид, что этого блюда не существует"
7/9/2019 17:11:38,Екатерина,картошка морковка ветчина яйца лук горошек яблоко соленые огурцы майонез:сметана 1:1,"делаю вид, что этого блюда не существует"
7/9/2019 17:12:40,Никита Б.,"картофель, морковь и яйца (отварить, потом порезать), колбаса докторская, огурцы маринованные (порезать), горошек (добавить), майонез (заправить), соль (добавить)",на квасе
7/9/2019 17:14:15,Максим,"отварить картофель и яйца, порезать на кубики. потом нарезать докторскую колбасу и соленые огурцы, добавить зеленый горошек, перемешать, добавить майонез.",на квасе
7/9/2019 17:14:19,Оля,"Вареная картошка, вареные яйца, маринованные огурцы, колбаса, горошек, вареная морковка, свежие огурцы, яблоки, соль, перец, майонез","делаю вид, что этого блюда не существует"
7/9/2019 17:17:09,Георгий,"Колбаска
Горошек 
Морковка вареная 
Яйца 
Картошка 
МАЗИК","и так, и эдак"
7/9/2019 17:17:35,Екатерина,"Колбаса, картофель отварной, яйца отварные, горошек консервированный, огурцы солёные, майонез, зелёный лук,соль,перец.","делаю вид, что этого блюда не существует"
7/9/2019 17:17:57,,"Колбаса, картофель отварной, яйца отварные, горошек консервированный, огурцы солёные, майонез, зелёный лук,соль,перец.",
7/9/2019 17:20:00,Митя,"картошечка, яичко, огурчик соленый, докторская колбаса, горошек, мазик","делаю вид, что этого блюда не существует"
7/9/2019 17:21:48,Кристина,"hardcore vegan recipe: варёный картофель, вареная морковь, соленые/маринованные огурцы, колбаса (ветчинная, типа докторской), банка вареного зеленого горошка, майонез, можно добавить немного зелени (укроп+петрушка). Соль-перец по вкусу.",на квасе
7/9/2019 17:22:12,Света,"картофель и морковь вареные, огурец соленый, горошек консервированный, яйца, ветчина, мясо копченое или колбаса докторская, майонез, зелень ",на квасе
7/9/2019 18:33:18,Никита,"отварить овощи (картофель, морковь), нарезать вареную колбасу, открыть горошек (особое гилти-плежер — выпить консервную жижу), всё смешать в чаше. Заправлять майонезом в салатниках по востребованию. ","делаю вид, что этого блюда не существует"
7/9/2019 18:57:42,Зухра,"горошек, свежие огурцы, малосольные огурцы, картошка, яйца, зелень (петрушка, укроп), соль/перец, мазик","делаю вид, что этого блюда не существует"
7/9/2019 22:56:38,Ксения,"колбаса, яйца, соленые огурцы, картошка, зелёный горошек, майонез","и так, и эдак"
7/9/2019 23:27:29,Ксения,"колбаса, лук, яйца, картошка, зелёный горошек, майонез, соленые огурцы","и так, и эдак"
7/10/2019 9:15:37,Арпине,"Я не готовлю, я просто ем)","делаю вид, что этого блюда не существует"
7/10/2019 11:41:23,,"Отварной картофель, отварная морковь, соленый огурец, зеленый горошек, отварная говядина, майонез",на квасе
7/10/2019 11:53:28,Николай,"Колбаса, яйца, ...","и так, и эдак"
7/10/2019 11:57:37,Евгений,"Картошка, яйца, отварная курица, маринованные огурцы, зеленый горошек, зеленый лук, соль, майонез","и так, и эдак"
7/10/2019 17:30:17,Татьяна,"Картофель, лук, морковь, зеленый горошек, майонез. Вегетарианский вариант","и так, и эдак"
7/10/2019 23:14:49,Светлана ,"Режем мелко-мелко яйца, режем картошку, морковку, солёные огурцы( очень много), мелко рубим зелень, добавляем горох(отжать воду), соль, перец, перемешиваем и в холодильник ",на кефире
7/19/2019 22:56:51,Арпине,"Я не готовлю, я просто ем)","делаю вид, что этого блюда не существует"
